제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
메르세데스벤츠코리아(주),C 200 4MATIC,3/16/21,3/16/21,1/14/22,파워트레인 컨트롤 유닛의 소프트웨어 오류로 인해 차량 운행 중 파워트레인 컨트롤 유닛이 의도하지 않게 재부팅될 수 있습니다.
만트럭버스코리아(주),TGX,7/24/19,2/10/21,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGX,7/25/19,1/28/20,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,12/13/19,9/14/21,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,9/3/19,3/3/21,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,8/29/19,3/2/21,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,9/4/20,9/14/20,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,12/1/20,12/18/20,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,8/29/19,8/29/19,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,10/16/20,10/17/20,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,7/23/20,7/28/20,1/17/22,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
포르쉐코리아 주식회사,파나메라,7/16/20,12/8/21,1/17/22,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,카이엔,7/16/20,12/8/21,1/17/22,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,타이칸,7/16/20,12/8/21,1/17/22,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,911 카레라,7/16/20,12/8/21,1/17/22,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
주식회사 마이브,마이브M1,9/22/20,12/17/20,1/18/22,"자동차의 에너지소비효율, 온실가스 배출량 및 연료소비율 시험방법 등에 관한 고시의 별표10 자동차의 에너지소비효율, 온실가스 배출량 및 연료소비율 측정 산정방법에서 측정 에너지소비효율 및 연료소비율의 계산에 해당 모델의 연비 계산식 중 SCT 시험방법을 사용한 경우(신설) 에너지소비효율 및 연료소비율은 1회 충전 주행거리(km)를 주행시 소모된 전기에너지의 교류전류 충전량(kWh)를 나눠 계산해야 합니다. 그러나 1회 충전 주행거리(km)를 주행 시 소모된 전기에너지의 누적 방전 직류 전력량(kWh)으로 나눠 잘못된 연비를 기재하여 제원통보 하였습니다."
포르쉐코리아 주식회사,파나메라,10/6/21,12/7/21,1/20/22,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조의 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,카이엔,9/29/21,12/8/21,1/20/22,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조의 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,타이칸,11/24/21,12/4/21,1/20/22,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조의 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,911 카레라,10/2/21,12/2/21,1/20/22,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조의 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
현대자동차(주),싼타페 하이브리드 (TM PE HEV),10/19/21,12/6/21,1/20/22,계기판 내부 부품 (저항값) 오적용으로 인해 저온조건(약 -20℃ 이하)에서 시동 시 간헐적으로 계기판 화면이 반전될 수 있고 그 상태로 주행할 경우 안전에 지장을 줄 가능성이 있는 결함
현대자동차(주),싼타페 (TM PE),10/21/21,12/6/21,1/20/22,계기판 내부 부품 (저항값) 오적용으로 인해 저온조건(약 -20℃ 이하)에서 시동 시 간헐적으로 계기판 화면이 반전될 수 있고 그 상태로 주행할 경우 안전에 지장을 줄 가능성이 있는 결함
만트럭버스코리아(주),TGX,5/13/20,9/16/21,1/21/22,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
만트럭버스코리아(주),TGX,11/25/20,5/28/21,1/21/22,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
만트럭버스코리아(주),TGX,3/1/20,4/21/21,1/21/22,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
만트럭버스코리아(주),TGX,4/30/20,10/15/21,1/21/22,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
만트럭버스코리아(주),TGX,11/27/20,9/28/21,1/21/22,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
테슬라코리아 유한회사,Model S,1/6/17,8/8/20,1/24/22,조립과정 중 후드를 장착하는 동안 래치 어셈블리(후드 잠금장치) 정렬 불량이 있을 수 있습니다.
비엠더블유코리아(주),Rolls-Royce Ghost EWB,9/10/20,11/25/21,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),Rolls-Royce Ghost Black Badge,7/19/21,12/7/21,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),Rolls-Royce Ghost,7/3/20,11/26/21,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive40i,12/17/19,11/19/21,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive40d,6/2/20,10/27/20,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive30d,8/10/20,11/19/21,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive30d,7/31/19,7/30/20,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 M50i,6/2/20,11/17/21,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 M50d,8/3/19,6/30/20,1/25/22,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X2 xDrive20i,10/28/21,10/28/21,1/26/22,주차거리 제어장치가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제53조의2(후방보행자 안전장치)의 제2항 접근 경보음 발생장치에서 정하는 감지영역 기준을 완전히 충족시키지 못하는 것으로 확인되었습니다.
만트럭버스코리아(주),TGX,10/19/19,10/20/20,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,1/15/19,11/14/20,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,2/28/19,2/14/21,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,7/25/19,2/11/21,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,1/16/19,8/1/19,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,7/26/19,1/29/20,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,1/29/20,11/18/20,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,8/30/19,3/3/21,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,10/31/18,1/23/19,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,9/5/20,9/15/20,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,12/2/20,12/19/20,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,8/30/19,8/30/19,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,11/30/18,10/10/19,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,11/9/18,12/5/18,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,7/24/20,7/29/20,2/3/22,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
스텔란티스코리아주식회사,500X,5/22/15,4/13/16,2/3/22,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
스텔란티스코리아주식회사,200,9/6/14,5/28/15,2/3/22,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
스텔란티스코리아주식회사,짚컴패스,12/16/17,8/6/18,2/3/22,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
스텔란티스코리아주식회사,짚체로키,5/9/14,11/7/18,2/3/22,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
스텔란티스코리아주식회사,짚레니게이드,4/30/15,9/17/18,2/3/22,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
메르세데스벤츠코리아(주),CLS 300 d 4MATIC,12/3/20,12/3/20,2/4/22,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,9/11/20,7/16/21,2/4/22,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),S 580 4MATIC,7/9/20,7/15/21,2/4/22,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),C 200 4MATIC,4/6/21,4/13/21,2/4/22,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),C 300,3/31/21,3/31/21,2/4/22,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,1/27/21,1/27/21,2/4/22,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,6/9/21,6/9/21,2/4/22,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 580 4MATIC,1/11/21,1/30/21,2/4/22,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 500 4MATIC,7/28/21,8/3/21,2/4/22,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 450 4MATIC,6/23/21,8/9/21,2/4/22,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 400 d 4MATIC,7/9/21,7/9/21,2/4/22,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 350 d,11/24/20,8/17/21,2/4/22,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
